[1776464692.588507] tid=1810269  OPEN  fd=4  (O_RDWR)  → /dev/hidraw3
[1776464692.644085] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCGRDESCSIZE or HIDIOCGVERSION, 0x7fffc1bc82fc) = 0
[1776464692.644151] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCGRDESC, 0x7fffc1bc8300) = 0
[1776464692.644194] tid=1810269  OPEN  fd=5  (O_RDONLY)  → /dev/hidraw3
[1776464692.644268] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGRDESCSIZE or HIDIOCGVERSION, 0x7fffc1bc82fc) = 0
[1776464692.644317] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGRDESC, 0x7fffc1bc8300) = 0
[1776464692.644366] tid=1810269  CLOSE fd=5
[1776464692.644965] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCSFEATURE(16), 0x5555c40f1190) = 16
[1776464692.645202] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCGFEATURE(17), 0x5555c40f2890) = 17
[1776464692.645383] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCSFEATURE(16), 0x5555c40f1190) = 16
[1776464692.645554] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCGFEATURE(17), 0x5555c40f2890) = 17
[1776464692.645779] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCSFEATURE(16), 0x5555c40f1190) = 16
[1776464692.846109] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCGFEATURE(17), 0x7fffc1bc9390) = 17
[1776464692.846551] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCSFEATURE(16), 0x5555c40f1190) = 16
[1776464693.048019] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCGFEATURE(17), 0x7fff99eed320) = 17
[1776464693.049083] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCSFEATURE(16), 0x5555c40f1190) = 16
[1776464693.049281] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCGFEATURE(17), 0x5555c40f2890) = 17
[1776464693.049458] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCSFEATURE(16), 0x5555c40f1190) = 16
[1776464693.249766] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCSFEATURE(16), 0x5555c40f1190) = 16
[1776464693.450419] tid=1810269  CLOSE fd=4
[1776464693.456883] tid=1810269  OPEN  fd=5  (O_RDWR)  → /dev/hidraw3
[1776464693.516079] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGRDESCSIZE or HIDIOCGVERSION, 0x7fffc1bc835c) = 0
[1776464693.524163] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGRDESC, 0x7fffc1bc8360) = 0
